,brand,location,page,year,error_brand,error_location
1,"-,,P,,,,,,,21",67601,22,2015,0,0
2,"-,,O,,-,,,,41",67868,22,2015,0,1
3,"-,,R,,-,,,,21",67748,23,2015,0,0
4,"-,,S,,QC,,,12",66449,24,2015,0,0
5,"-,,TP,,,,,,,4",66039,25,2015,0,0
6,"-,,W,,7,2,,,2",67849,27,2015,0,0
7,"-,,\,,,,,,,,5",67878,28,2015,0,0
8,"-3,,,,,,,,,,4",67101,28,2015,0,0
9,"/,,B,,,,,,,32",66716,29,2015,0,0
10,"/,,J,1W1,J,41",67439,31,2015,0,0
11,"/,,J,4,,,,,,1",67451,31,2015,0,0
12,"/,,K,,,,,,,,2",67431,31,2015,0,0
13,"/,,P,,\,,\,,1",67003,32,2015,0,0
14,"3,,-,,Y,,,,,1",66762,35,2015,0,0
15,"3,,G,,,,,,,34",51503,36,2015,0,0
16,"3,,B,,QC,,,,2",66528,36,2015,0,0
17,"3,,M,,,,,,,,2",66079,36,2015,0,0
18,"4,,-,,C,,,,,1",67838,37,2015,0,0
19,"3,,O,,,,,,,,2",67473,37,2015,0,0
20,"4,,C,,QC,,,13",67745,38,2015,0,0
21,"4,,L,,,,,,,,2",67072,39,2015,0,0
22,"5,,S,5,,,,,,2",67473,40,2015,0,0
23,"7,,B,,,,,,,15",67029,42,2015,0,0
24,"7,,6,,,,,,,12",66801,42,2015,0,0
25,"7,,H,,QC1,,,1",67337,44,2015,0,1
26,"7,,QC,,,,,,,2",67556,47,2015,0,0
27,"7,,T,7,,,,,11",67635,47,2015,0,0
28,"7,,V,,-,,,,24",67045,47,2015,0,0
29,"7,5-,,,,,,,,5",67347,49,2015,0,0
30,"7,5B,7,,,,,,1",67844,49,2015,0,0
31,"7,2A3,,,,,,,4",67735,49,2015,0,0
32,Err:509,67143,51,2015,0,0
33,"A,,L,,-,,,,,5",67127,55,2015,0,0
34,"A,,QC,,,,,,,4",80020,55,2015,0,0
35,"A3,7,,,,,,,,1",67661,57,2015,0,0
36,"A3,*,,,,,,,,1",67645,57,2015,0,0
37,"A3,-,,,,,,,11",67349,57,2015,0,0
38,"A3,-,,,,,,,,4",67552,57,2015,0,0
39,"A3,C,,C,,,,,1",66006,59,2015,0,0
40,"A3,E,,,,,,,11",67572,60,2015,0,0
41,"A3,H,,\,,,,,1",67330,61,2015,0,0
42,"A3,J,7,,,,,,1",67834,62,2015,0,0
43,"A3,K,,-,,,,,2",67870,62,2015,0,0
