"","brand","location","page","year","error_brand","error_location"
"1","(,,-,,,,,,,,3","66017",1,1990,0,0
"2","(,,B,,),,,,,2","67526",2,1990,0,0
"3","+,,7,,,,,,,,2","67416",5,1990,0,0
"4","+,,L,,M,,,,,3","67871",7,1990,0,0
"5","+,,\,,,,,,,,6","67880",9,1990,0,0
"6","-,,-,,,,,,,,5","67124",10,1990,0,0
"7","-,,/,,\,,,,,3","67451",10,1990,0,0
"8","-,,7,,/,,,,,2","67070",11,1990,0,0
"9","-,,5,,,,,,,,2","67560",11,1990,0,0
"10","-,,A,,,,,,,,4","66039",12,1990,0,0
"11","-,,A,,,,,,,,6","66418",13,1990,0,0
"12","-,,C,,-,,,,55","67701",16,1990,0,0
"13","-,,F,,,,,,,12","67109",18,1990,0,0
"14","-,,G,,,,,,,,1","66533",19,1990,0,0
"15","-,,H,,K,,,,11","67854",20,1990,0,0
"16","-,,I,,,,,,,,2","67352",21,1990,0,0
"17","-,,I,,U,1,,11","66431",22,1990,0,0
"18","-,,J,,B,,,,22","74354",23,1990,0,0
"19","-,,J,,B,,,,,3","67349",23,1990,0,0
"20","-,,J,,L,,,,14","67029",23,1990,0,0
"21","-,,J,6,,,,,,1","66849",24,1990,0,0
"22","-,,K,,,,,,,25","67425",25,1990,0,0
"23","-,,K,,-,,,,22","66434",25,1990,0,0
"24","-,,N,,,,,,,,4","67042",28,1990,0,0
"25","-,,O,,,,,,,23","67663",28,1990,0,0
"26","-,,O,,-,,,,22","79081",29,1990,0,0
"27","-,,R,,,,,,,,3","67552",30,1990,0,0
"28","-,,R,7,,,,,11","67105",31,1990,0,0
"29","-,,T,,-,,,,,1","66401",33,1990,0,0
"30","-,,U,,P,,,,,2","67645",34,1990,0,0
"31","-,,U,,,,,,,16","67871",34,1990,0,0
"32","-,,T,5C,,,,,2","67951",34,1990,0,0
"33","-,,V,5,,,,,15","67661",35,1990,0,0
"34","-,,U,1J,2,,,1","67042",35,1990,0,0
"35","-,,W1,,,,,,,1","67658",36,1990,0,0
"36","-,,W1,,,,,,11","66088",36,1990,0,0
"37","-,,[,,C,2,,,2","67481",37,1990,0,0
"38","-,,Y,,,,,,,11","67831",37,1990,0,0
"39","-,,[,,C,,,,,2","67353",37,1990,0,0
"40","/,,I,,,,,,,,6","67880",41,1990,0,0
"41","/,,H,,-,,,,,1","67801",41,1990,0,0
"42","/,,J,,M1,/,,6","67870",42,1990,0,0
"43","/,,MI2,,,,,,1","67578",43,1990,0,0
"44","/,,O,,\,,,,,2","67439",43,1990,0,0
"45","2,,/,,,,,,,,2","67637",45,1990,0,0
"46","2,,2,,,,,,,,3","67572",45,1990,0,0
"47","3,,+,,,,,,,,2","67672",47,1990,0,0
"48","2,5K,5,,,,,,1","67473",47,1990,0,0
"49","4,,B,,,,,,,31","67530",50,1990,0,0
"50","4,,H,,-,,,,,1","67114",51,1990,0,0
"51","4,,E,,,,,,,,2","67501",51,1990,0,0
"52","4,,J,2,,,,,,2","66502",52,1990,0,0
"53","5,,7,,-,,,,,1","67860",54,1990,0,0
"54","6,5E,7,,,,,,1","66846",55,1990,0,0
"55","7,,=,,,,,,,,4","67003",57,1990,0,0
"56","7,,E,,MI,,,,2","67736",59,1990,0,0
"57","7,,I,,=,,,,,1","67880",60,1990,0,0
"58","7,,J,,F,,-,,2","67058",61,1990,0,0
"59","7,,J,,B,,-,12","67510",61,1990,0,0
"60","7,,J,,M,,,,,1","66854",61,1990,0,0
"61","7,,J,,,,,,,,4","66083",61,1990,0,0
"62","7,,J,,R,,,,,6","66076",62,1990,0,0
"63","7,,M,,,,,,,,2","67747",63,1990,0,0
"64","7,,R,,,,,,,11","67361",64,1990,0,0
"65","7,,U,,-,,,,13","67057",65,1990,0,0
"66","7,,V,,7,2-,,5","66783",65,1990,0,0
"67","7,,U,,4,,L,,3","67661",65,1990,0,0
"68","7,27,2L,2,,,3","67880",67,1990,0,0
"69","7,5A,,L,,,,,1","67862",68,1990,0,0
"70","7,5S,5,,,,,,2","66415",69,1990,0,0
"71","9,,BB3,,,,,11","67112",70,1990,0,0
"72","9,,H,,,,,,,,1","67756",70,1990,0,0
"73","8,,I,,,,,,,,4","67431",70,1990,0,0
"74","=,,C,,,,,,,,1","66901",72,1990,0,0
"75","=,,G,,,,,,,11","67621",72,1990,0,0
"76","A,,2,,,,,,,,1","67436",75,1990,0,0
"77","A,,D,,,,,,,12","67058",76,1990,0,0
"78","A,,F,4,,,,,,1","67637",76,1990,0,0
"79","A,,J,,,,,,,,1","67455",77,1990,0,0
"80","A,,V,,-,,,,,4","67058",78,1990,0,0
"81","A,,S,2,,,,,,2","67882",78,1990,0,0
"82","A,,P,,QC1,,,2","67736",78,1990,0,0
"83","A,,Z,,,,,,,,1","66756",79,1990,0,0
"84","A,7L,,L,,,,,2","67661",80,1990,0,0
"85","A3,3,,,,,,,,1","67877",81,1990,0,0
"86","A3,B,5,,,,,,2","67839",82,1990,0,0
"87","A3,D,,-,,,,24","67862",83,1990,0,0
"88","A3,BX1,,,,,12","67735",83,1990,0,0
"89","A3,G,,,,,,,11","67831",84,1990,0,0
"90","A3,H,,,,,,,15","66502",84,1990,0,0
"91","A3,J,,M1,J,21","67104",86,1990,0,0
"92","A3,O,,,,,,,,1","67954",87,1990,0,0
"93","A3,O,,,,,,,21","66849",88,1990,0,0
"94","A3,S,5,,,,,,2","67045",89,1990,0,0
"95","A35O,,,,,,,,2","67764",91,1990,0,0
"96","A35V,5,,,,,11","66523",92,1990,0,0
"97","AR,J,8,,,,,,2","67855",93,1990,0,0
"98","AR,J,2,,,,,,2","66436",93,1990,0,0
