"","brand","location","page","year","error_brand","error_location"
"1","D,,T,7,,,,,21","67105",110,2008,0,0
"2","D,2H,,-,,,,12","67047",111,2008,0,0
"3","D,5S,6,,,,,,3","67748",114,2008,0,0
"4","D,5MI,,,,,,,2","67138",114,2008,0,0
"5","D,7X,,,,,,,,2","67855",115,2008,0,0
"6","DI,7,,,,,,,11","67439",116,2008,0,0
"7","DI,DI,,,,,,,1","66417",116,2008,0,0
"8","DI,C,,,,,,,,2","67736",116,2008,0,0
"9","DI,S,,,,,,,,1","67801",118,2008,0,0
"10","E,,D,5,,,,,,1","67867",120,2008,0,0
"11","E,2H,,J,2,,,1","66762",123,2008,0,0
"12","F,,/,,,,,,,,2","67560",126,2008,0,0
"13","F,,-,,,,,,,12","66850",126,2008,0,0
"14","F,,AR1,,,,,,1","67423",126,2008,0,0
"15","F,,AR1,,,,,,3","67837",126,2008,0,0
"16","F,2J,2,,,,,,1","66852",129,2008,0,0
"17","F,2F,1,,,,,11","67758",129,2008,0,0
"18","F,2R,,,,,,,11","67003",129,2008,0,0
"19","F,2W,,7,2,,,1","66095",130,2008,0,0
"20","G,,/,,,,,,,,4","67008",132,2008,0,0
"21","G,,=,,,,,,,,1","67749",133,2008,0,0
"22","G,,G,2,,,,,,2","67672",134,2008,0,0
"23","G,,J,,,,,,,11","67645",134,2008,0,0
"24","G,2-,,G,,,,,6","82070",136,2008,0,0
"25","G,,Y1,,,,,,,2","66546",136,2008,0,0
"26","G,7QC,,,,,,,1","67357",137,2008,0,0
"27","H,,4,,,,,,,12","66428",138,2008,0,0
"28","H,,BB6,,,,,,5","67045",139,2008,0,0
"29","H,,K,,-,,,,22","67029",142,2008,0,0
"30","H,,L,,QC,,,,1","66524",142,2008,0,0
"31","H,,QC,,,,,,21","66846",143,2008,0,0
"32","H,,T1,,,,,,,5","67127",144,2008,0,0
"33","H,,S,,,,,,,36","67861",144,2008,0,0
"34","H,5I,,,,,,,11","67068",146,2008,0,0
"35","H,5D,,,,,,,,1","67735",146,2008,0,0
"36","H,5BX2,,,,,,1","66407",146,2008,0,0
"37","H1,H1,,,,,,,1","67401",147,2008,0,0
"38","HK2I,,,,,,,,2","80014",148,2008,0,0
"39","HR5V,,,,,,,,1","66521",149,2008,0,0
"40","I,,/,,\,,,,,2","67420",150,2008,0,0
"41","I,,A,,,,,,,12","67570",151,2008,0,0
"42","I,,L,2A3,L,,1","67155",154,2008,0,0
"43","I,,S,5,,,,,,6","67837",155,2008,0,0
"44","I,,T,,-,,,,,1","67801",156,2008,0,0
"45","I,,U,1,,,,,25","67152",156,2008,0,0
"46","J,,-,,,,,,,21","66901",157,2008,0,0
"47","J,,A3,QC,,,,1","67464",159,2008,0,0
"48","J,,BB3,,,,,,1","66858",160,2008,0,0
"49","J,,BB2,,,,,14","66429",160,2008,0,0
"50","J,,F,,,,,,,11","79081",161,2008,0,0
"51","J,,H,,AR5,,,2","68960",162,2008,0,0
"52","J,,F,,S,,,,12","67021",162,2008,0,0
"53","J,,I,,,,,,,,2","67516",163,2008,0,0
"54","J,,L,,-,,,,22","67764",164,2008,0,0
"55","J,,R,,-,,,,,2","66736",166,2008,0,0
"56","J,,P,,,,,,,,2","67880",166,2008,0,0
"57","J,,S,5,,,,,,1","66871",167,2008,0,0
"58","J,,\,,J,,,,,1","66777",168,2008,0,0
"59","J,1J,2,,,,,12","66865",169,2008,0,0
"60","J,1W1,,,,,,,1","67631",170,2008,0,0
"61","J,6E,,,,,,,,2","67870",173,2008,0,0
"62","J,6T,,,,,,,,2","67544",174,2008,0,0
"63","J,6\,,,,,,,,2","67546",174,2008,0,0
"64","JW,,,,,,,,,,2","67882",177,2008,0,0
"65","J,8O,,,,,,,,1","67138",177,2008,0,0
"66","K,,5,,,,,,,24","67853",178,2008,0,0
"67","K,,A3,,,,,,,2","67744",178,2008,0,0
"68","K,,L,,,,,,,13","67560",180,2008,0,0
"69","K,2-,,,,,,,,2","66521",182,2008,0,0
"70","K,5B,5,,,,,,2","66066",183,2008,0,0
"71","K,7AR5,,,,,,1","67758",184,2008,0,0
"72","K,5Z,,,,,,,,2","67752",184,2008,0,0
"73","K1,-,,,,,,,,6","67626",184,2008,0,0
"74","K12P,,,,,,,,4","66071",185,2008,0,0
"75","K1,T,7,,,,,,1","67042",185,2008,0,0
"76","K12Z,,,,,,,,1","67738",185,2008,0,0
"77","K12F,,-,,,,,5","67152",185,2008,0,0
"78","L,,/,,,,,,,11","66783",186,2008,0,0
"79","L,,A,5,,,,,,2","67878",187,2008,0,0
"80","L,,BB3,,,,,,3","67860",188,2008,0,0
"81","L,,D,2,,,,,,1","67730",189,2008,0,0
"82","L,,L,,,,,,,,2","67601",190,2008,0,0
"83","L,,QC,,,,,,,2","67880",191,2008,0,0
"84","L,,Z,9Z,9,,,3","66017",193,2008,0,0
"85","L,2B,,,,,,,,1","66952",194,2008,0,0
"86","L,2H,,,,,,,,4","67530",195,2008,0,0
"87","L,2J,,,,,,,,1","67625",195,2008,0,0
"88","L,2QC,,,,,,12","67622",196,2008,0,0
"89","M,,5,,,,,,,22","66054",199,2008,0,0
"90","M,,-,,,,,,,61","66850",199,2008,0,0
"91","M,,7,2-,,,,11","67530",199,2008,0,0
"92","M,,B,7,,,,,,3","67475",200,2008,0,0
"93","M,,AR1AR1,,,1","67072",200,2008,0,0
"94","M,,C,,,,,,,45","66413",200,2008,0,0
"95","M,,J,6,,,,,,2","67831",202,2008,0,0
"96","M,,I,,,,,,,36","67801",202,2008,0,0
"97","M,,M,,QC,,,,1","66754",203,2008,0,0
"98","M,,L,2,,,,,12","66857",203,2008,0,0
"99","M,,O,,-,,,,12","67860",204,2008,0,0
"100","M,,QC,,,,,,22","66548",204,2008,0,0
"101","M,,R,,,,,,,72","67122",204,2008,0,0
"102","M,,\,,,,,,,22","67029",205,2008,0,0
"103","M,5O,,,,,,,21","67449",206,2008,0,0
